name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,assessed_name,risk,V
Kilifi County Hospital,11474,Level 4,Kilifi North,-3.63205,39.85722,4111,0,0,0,0,0,0,0,1.13,0.0,100.4,0.8,2.5,2.6,True,Kilifi County Hospital,21.9,2.35
Mulunguni Dispensary,21787,Level 2,Magarini,-2.9790797,39.7715075,3757,3131,3757,3757,0,3757,0,0,-0.716,24.5,82.0,49.1,3.8,7.1,False,,,
Mmangani Dispensary,20036,Level 2,Malindi,-3.11,39.5847,3757,2505,3757,3757,0,3757,0,0,-0.685,45.3,78.4,20.4,3.6,5.7,False,,,
Dida Dispensary,11305,Level 2,Ganze,-3.4288,39.8054,3608,2405,3207,0,3608,0,3207,0,-0.627,4.2,90.4,152.0,3.9,6.4,False,,,
Kambe Dispensary,16192,Level 2,Rabai,-3.8487,39.6324,3452,0,0,0,0,0,0,0,0.545,1.8,100.4,12.4,0.7,0.7,False,,,
Rainbow Community Care,11751,Level 3,Magarini,-3.18099,40.11512,3131,0,0,0,0,0,0,0,0.406,0.1,104.3,4.0,2.4,3.8,False,,,
Dzikunze Dispensary,11359,Level 2,Ganze,-3.2956,39.7508,2806,1203,1203,401,2405,0,1203,0,-0.408,16.7,87.1,111.6,5.1,7.4,False,,,
Mjanaheri Dispensary,21213,Level 2,Magarini,-3.0793,40.1409,2505,0,626,0,0,0,0,0,0.121,0.1,102.6,4.0,1.8,2.3,False,,,
Mambrui Dispensary,11559,Level 2,Magarini,-3.1184,40.1569,2505,0,626,0,0,0,0,0,-0.15,0.2,103.7,4.0,2.1,2.9,False,,,
Chakama Dispensary,11276,Level 2,Magarini,-3.122,39.6335,1879,0,1252,1879,626,1252,0,0,-0.376,34.7,81.8,55.3,3.3,7.1,True,Chakama Dispensary,28.6,3.3
