mfl_code,facility_name,keph_level,facility_type,sub_county,ward,owner_type,beds,latitude,longitude,coord_source,matched_name_2019,match_score,status
11547,Makanzani Dispensary,Level 2,Dispensary,Rabai,Ruruma,Ministry of Health,0,-3.8655,39.6068,GPS,Makanzani Dispensary,1.0,matched
11802,Sokoke Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,-3.5215,39.767,GPS,Sokoke Dispensary,1.0,matched
11756,Ribe Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,0,-3.8854,39.6315,GPS,Ribe Dispensary,1.0,matched
11481,Kinarani Dispensary,Level 2,Dispensary,Kaloleni,Mwanamwinga,Ministry of Health,0,-3.7296,39.5792,GPS,Kinarani Dispensary,1.0,matched
11559,Mambrui Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,4,-3.1184,40.1569,GPS,Mambrui Dispensary,1.0,matched
11430,Jaribuni Dispensary,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,-3.6326,39.7427,GPS,Jaribuni Dispensary,1.0,matched
11609,Midoina Dispensary,Level 2,Dispensary,Ganze,Bamba,Ministry of Health,0,-3.5017,39.3872,GPS,Midoina Dispensary,1.0,matched
11444,Junju Dispensary,Level 2,Dispensary,Kilifi South,Junju,Ministry of Health,0,-3.8299,39.7611,GPS,Junju Dispensary,1.0,matched
11895,Watamu Dispensary,Level 2,Dispensary,Kilifi North,Watamu,Ministry of Health,0,-3.3501,40.0123,GPS,Watamu Dispensary,1.0,matched
11752,Rainbow Medical Burangi,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.2619,40.0897,GPS,Rainbow Medical Burangi Clinic,1.0,matched
11738,Pingilikani Dispensary,Level 2,Dispensary,Kilifi South,Mwarakaya,Ministry of Health,0,-3.7744,39.7735,GPS,Pingilikani Dispensary,1.0,matched
11447,Kadzinuni Dispensary,Level 2,Dispensary,Kilifi North,Mnarani,Ministry of Health,0,-3.74511,39.81237,GPS,Kadzinuni Dispensary,1.0,matched
11382,Ganda Dispensary,Level 2,Dispensary,Malindi,Ganda,Ministry of Health,0,-3.2181,40.0941,GPS,Ganda Dispensary,1.0,matched
11433,Jilore Dispensary,Level 2,Dispensary,Malindi,Jilore,Ministry of Health,0,-3.1892,39.9058,GPS,Jilore Dispensary,1.0,matched
11851,Timboni Community Dispensary,Level 2,Dispensary,Kilifi North,Dabaso,Ministry of Health,0,-3.1843,39.7403,GPS,Timboni Community Dispensary,1.0,matched
11601,Mgamboni Dispensary,Level 2,Dispensary,Kaloleni,Kaloleni,Ministry of Health,0,-3.8452,39.6634,GPS,Mgamboni Dispensary,1.0,matched
11610,Mijomboni Dispensary,Level 2,Dispensary,Kilifi North,Dabaso,Ministry of Health,2,-3.2621,40.0016,GPS,Mijomboni Dispensary,1.0,matched
11198,Adu Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-2.8398,39.9799,GPS,Adu Dispensary,1.0,matched
11276,Chakama Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-3.122,39.6335,GPS,Chakama Dispensary,1.0,matched
16192,Kambe Dispensary,Level 2,Dispensary,Rabai,Kambe/Ribe,Ministry of Health,0,-3.8487,39.6324,GPS,Kambe Dispensary,1.0,matched
11689,Mwangatini Dispensary,Level 2,Dispensary,Magarini,Magarini,Ministry of Health,0,-3.1434,40.0495,GPS,Mwangatini Dispensary,1.0,matched
11758,Roka Maweni Dispensary,Level 2,Dispensary,Kilifi North,Matsangoni,Ministry of Health,0,-3.4436,39.92867,GPS,Roka Maweni Dispensary,1.0,matched
11730,Palakumi Dispensary,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,-3.6213,39.6059,GPS,Palakumi Dispensary,1.0,matched
11578,Matolani Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-3.10202,39.66969,GPS,Matolani Dispensary,1.0,matched
11394,GK Prison Dispensary (Magarini),Level 2,Dispensary,Magarini,Sabaki,Ministry of Health,0,,,,,,no match in 2019 inventory
11534,Madunguni Dispensary,Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,0,-3.1837,39.9748,GPS,Madunguni Dispensary,1.0,matched
11256,Bombi Dispensary,Level 2,Dispensary,Magarini,Adu,Ministry of Health,0,-3.07925,39.47874,Google Earth,Bombi Dispensary,1.0,matched
