name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,risk,V
Junju Dispensary,11444,Level 2,Kilifi South,-3.8299,39.7611,13526,0,1932,0,0,0,0,0,-0.18,0.1,107.9,9.7,2.4,3.5,True,35.0,3.76
Mtondia Dispensary,11667,Level 2,Kilifi North,-3.5712,39.8675,13496,0,0,0,3374,0,0,0,0.119,0.1,101.5,38.9,3.4,5.4,False,,
Mnarani Dispensary,11636,Level 2,Kilifi North,-3.6412,39.8459,13496,0,1687,0,1687,0,0,0,0.056,0.2,99.9,21.7,3.7,7.4,False,,
Kadaina Community Dispensary,11445,Level 2,Kilifi North,-3.379185,39.930862,13059,2949,5474,0,0,0,0,0,-0.244,0.7,93.2,2.9,3.7,6.5,False,,
Chamari Dispensary,20308,Level 2,Magarini,-2.9027,39.8974,12362,4945,9890,0,0,0,0,0,-0.574,9.3,87.1,49.1,4.6,7.1,False,,
Makanzani Dispensary,11547,Level 2,Rabai,-3.8655,39.6068,12328,0,2466,0,0,0,0,0,-0.23,2.4,99.1,19.0,2.7,5.2,False,,
Roka Maweni Dispensary,11758,Level 2,Kilifi North,-3.4436,39.92867,11809,0,3374,0,0,0,0,0,-0.277,0.1,96.3,2.3,2.9,4.5,False,,
Vipingo Rural Demonstration Health Centre,11881,Level 3,Kilifi South,-3.8193,39.8094,11593,1932,1932,0,0,0,0,0,0.139,0.1,105.9,1.3,2.4,4.0,True,41.1,3.98
Jibana Sub District Hospital,11432,Level 4,Kaloleni,-3.8311,39.6865,11593,1932,1932,0,0,0,0,0,-0.28,0.5,104.9,17.9,2.4,4.1,True,20.0,2.61
Mwangatini Dispensary,11689,Level 2,Magarini,-3.1434,40.0495,11360,6311,7573,0,0,0,0,0,-0.52,0.4,104.4,3.9,3.1,4.4,False,,
Marikebuni Dispensary,11571,Level 2,Magarini,-3.0903,40.1121,11360,0,1262,0,0,0,0,0,-0.208,0.2,103.5,4.0,3.4,5.8,False,,
Mtepeni Dispensary,11666,Level 2,Kilifi South,-3.9002,39.7316,10728,4398,4398,0,0,0,0,0,-0.422,0.3,112.6,12.4,3.1,4.7,False,,
Watamu Dispensary,11895,Level 2,Kilifi North,-3.3501,40.0123,10522,1262,1262,0,0,0,0,0,0.153,0.1,99.6,2.9,3.2,4.5,True,40.8,4.22
Matsangoni Model Health Centre,11580,Level 3,Kilifi North,-3.3904,39.9286,10122,0,0,0,0,0,0,0,0.077,0.3,94.3,2.9,2.6,4.2,True,28.8,3.2
Kakoneni Dispensary,11452,Level 2,Malindi,-3.1644,39.8659,10097,3787,3787,0,0,0,0,0,-0.333,12.7,86.8,49.1,3.0,4.7,False,,
Madunguni Dispensary,11534,Level 2,Malindi,-3.1837,39.9748,10097,0,1262,0,0,0,0,0,-0.226,2.5,100.7,20.2,2.8,4.2,False,,
Matolani Dispensary,11578,Level 2,Magarini,-3.10202,39.66969,9942,1236,6233,9942,0,6233,0,0,-0.445,31.8,83.1,24.0,3.8,6.1,False,,
Msumarini Dispensary,11659,Level 2,Kilifi South,-3.87227,39.79793,9661,0,0,0,0,0,0,0,0.214,0.1,111.9,12.4,2.2,3.3,False,,
Pingilikani Dispensary,11738,Level 2,Kilifi South,-3.7744,39.7735,9661,0,3864,0,0,0,0,0,-0.24,0.2,102.8,3.1,2.1,3.8,False,,
Kizingo Health Centre,11497,Level 3,Kilifi South,-3.7821,39.677,9661,0,0,0,0,0,0,0,-0.153,0.6,99.9,28.9,2.1,3.1,False,,
Lenga Dispensary,11517,Level 2,Rabai,-3.8669,39.6618,9329,4398,4398,0,0,0,0,0,-0.315,0.7,110.5,12.4,2.5,3.6,False,,
Gandini Dispensary,18300,Level 2,Magarini,-3.4215,39.422,9327,4663,6662,4663,8661,3331,5996,666,-0.56,21.5,77.4,105.5,7.6,22.3,False,,
Dzikunze Dispensary,11359,Level 2,Ganze,-3.2956,39.7508,8835,2524,3787,1262,7573,0,3787,0,-0.408,16.7,87.1,111.6,5.1,7.4,False,,
Kakuyuni Dispensary (Malindi),11453,Level 2,Malindi,-3.22034,40.0019,8835,1262,2524,0,0,0,0,0,-0.167,0.9,103.5,2.9,2.4,3.6,False,,
Bomani Dispensary,11255,Level 2,Kilifi South,-3.8843,39.7494,7729,0,0,0,0,0,0,0,-0.056,0.1,112.4,12.4,2.2,3.7,False,,
Takaungu Dispensary,11836,Level 2,Kilifi North,-3.6828,39.8592,7729,1932,1932,0,0,0,0,0,0.099,0.1,102.2,2.3,2.6,4.5,False,,
Malanga Dispensary (Vitengeni),20342,Level 2,Ganze,-3.2818,39.7904,7573,3787,5049,0,0,0,0,0,-0.618,13.6,86.3,4.2,5.3,7.6,False,,
Mulunguni Dispensary,21787,Level 2,Magarini,-2.9790797,39.7715075,7417,4945,7417,7417,0,7417,0,0,-0.716,24.5,82.0,49.1,3.8,7.1,False,,
Mmangani Dispensary,20036,Level 2,Malindi,-3.11,39.5847,7417,4945,7417,7417,0,7417,0,0,-0.685,45.3,78.4,20.4,3.6,5.7,False,,
Ribe Dispensary,11756,Level 2,Rabai,-3.8854,39.6315,7397,0,0,0,0,0,0,0,0.04,1.4,107.7,12.4,1.7,2.4,True,37.7,4.05
Mgamboni Dispensary,11601,Level 2,Kaloleni,-3.8452,39.6634,6863,0,1932,0,0,0,0,0,-0.299,1.2,102.4,18.3,1.8,2.2,False,,
Kiwandani Dispensary,11493,Level 2,Kilifi North,-3.5717037,39.8719258,6748,0,0,0,0,0,0,0,0.238,0.0,104.3,0.8,2.7,3.6,False,,
Mshongoleni Community Dispensary,20300,Level 2,Malindi,-3.2469,40.0273,6311,1262,1262,0,0,0,0,0,-0.158,0.2,105.6,2.9,2.2,3.8,False,,
